Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
StackCalc SC-6 Elementary Math Calculator,sc6-elementary-calculator,"<h2>Hands-On Math for Young Learners (Grades K–6)</h2><p>The <strong>StackCalc SC-6</strong> is purpose-built to help elementary students build deep, lasting mathematical intuition. By replacing abstract screen taps with tactile buttons and direct visual models, the SC-6 transforms elementary arithmetic into an engaging physical exploration.</p><h3>Visual Mathematics & Foundation Skills</h3><ul><li><strong>Visual Ten Frames:</strong> See numbers group into tens and ones directly on screen.</li><li><strong>Interactive Number Racks:</strong> Visual bead models reinforce addition and subtraction strategies.</li><li><strong>Dedicated Fraction Key [SIMP]:</strong> Step-by-step fraction simplification that teaches common factors instead of hiding the work.</li><li><strong>Skip-Counting [REP]:</strong> Master multiplication tables through repetitive pattern building.</li><li><strong>Time & Money Operations:</strong> Direct calculation tools for hours, minutes, dollars, and cents.</li></ul><h3>Kid-Safe & Classroom-Durable</h3><p>Engineered with rounded drop-resistant corners, large high-visibility tactile keys, and zero distracting screens or internet access. 100% pre-soldered 5-minute snap assembly makes it an exciting, empowering building activity for parents and kids.</p><h3>What's in the Box</h3><ul><li>1× 100% Pre-Soldered SC-6 Elementary Mainboard</li><li>1× Durable Rounded Snap Chassis</li><li>1× Elementary Keycap Set with Dedicated [SIMP] and [REP] Keys</li><li>1× High-Contrast Screen with Visual Model Support</li><li>1× Long-Life Coin Cell Battery</li><li>1× Elementary Math Activity Guidebook</li><li>1× Desk Stand Packaging</li></ul>",StackCalc,,Elementary Calculator,"Calculator, Elementary Math, K-6, STEM, Ten Frames, Number Racks, Fractions, SIMP, Math Education, Kids, Classroom",TRUE,Active,SC6-ELM-BLUE,,Colorway,Schoolhouse Blue,,,,,,,,35.00,,11.50,TRUE,,,,,,shopify,100,DENY,150,g,TRUE,manual,,,,,FALSE,StackCalc SC-6 Elementary Math Calculator ($35),"Tactile math calculator for Grades K–6. Features visual ten frames, number racks, dedicated fraction simplify key [SIMP], and skip-counting.",,Office Supplies > Calculators,Unisex,Kids,SC6-ELM-BLUE,,,New,FALSE,,,,,
,sc6-elementary-calculator,,,,,,,,SC6-ELM-YLLW,,,Solar Yellow,,,,,,,,35.00,,11.50,TRUE,,,,,,shopify,100,DENY,150,g,TRUE,manual,,,,,,,,,,,,SC6-ELM-YLLW,,,,,,,,,
,sc6-elementary-calculator,,,,,,,,SC6-ELM-GREN,,,Forest Green,,,,,,,,35.00,,11.50,TRUE,,,,,,shopify,100,DENY,150,g,TRUE,manual,,,,,,,,,,,,SC6-ELM-GREN,,,,,,,,,
,sc6-elementary-calculator,,,,,,,,SC6-ELM-SLTE,,,Slate Gray,,,,,,,,35.00,,11.50,TRUE,,,,,,shopify,100,DENY,150,g,TRUE,manual,,,,,,,,,,,,SC6-ELM-SLTE,,,,,,,,,
,sc6-elementary-calculator,,,,,,,,SC6-ELM-RED0,,,Coral Red,,,,,,,,35.00,,11.50,TRUE,,,,,,shopify,100,DENY,150,g,TRUE,manual,,,,,,,,,,,,SC6-ELM-RED0,,,,,,,,,
The Unit Circle Volvelle — Mechanical Trigonometry Calculator,unit-circle-volvelle,"<h2>Zero-Battery Mechanical Trigonometry Calculator</h2><p>The <strong>Unit Circle Volvelle</strong> is an indestructible, two-piece rotary disc calculator engineered for rapid trigonometric reference and spatial geometry comprehension—completely free of batteries or digital screens.</p><h3>How It Works</h3><ul><li><strong>Outer Ring (Fixed):</strong> Precision laser-engraved with standard angles (0° to 360°) and exact radian measures (0 to 2π).</li><li><strong>Inner Disc (Rotating):</strong> Features a precision cutout aperture window. Align the arrow to any angle or radian, and the aperture instantly displays the exact coordinate values: <code>(cos θ, sin θ)</code> and <code>tan θ</code>.</li></ul><h3>100% 3D-Printed Polymer Construction</h3><p>Fabricated using durable, recyclable engineering polymers with a snap-fit center pivot—zero metal screws, washers, or fasteners required. Designed to withstand backpack transit and years of desktop reference.</p>",StackCalc,,Educational Math Tool,"Trigonometry, Unit Circle, Volvelle, Math Tool, Rotary Calculator, STEM, Geometry, Calculus, Zero-Battery, 3D-Printed",TRUE,Active,VOL-TRG-WHT,,Finish,High-Contrast White/Navy,,,,,,,,18.00,,1.80,TRUE,,,,,,shopify,200,DENY,45,g,TRUE,manual,,,,,FALSE,The Unit Circle Volvelle | Mechanical Trigonometry Tool,"Zero-battery 3D-printed rotary disc calculator. Instant spatial reference for sine, cosine, tangent, degrees, and radians.",,Office Supplies > Teaching Aids,Unisex,Adult,VOL-TRG-WHT,,,New,FALSE,,,,,
,unit-circle-volvelle,,,,,,,,VOL-TRG-STH,,,Stealth Slate/Gold,,,,,,,,18.00,,1.80,TRUE,,,,,,shopify,100,DENY,45,g,TRUE,manual,,,,,,,,,,,,VOL-TRG-STH,,,,,,,,,
StackCalc Reference Decks (3-Card Math Keystroke Set),stackcalc-reference-decks,"<h2>Pocket-Sized RPN Workflow Cards</h2><p><strong>StackCalc Reference Decks</strong> are standardized, credit-card-sized (85.6 × 53.98 mm) quick-reference cards designed to slide directly into the rear TPU pouch of your calculator. Each card maps textbook algebraic formulas directly into exact StackCalc keystrokes, eliminating syntax confusion during exams and lab sessions.</p><h3>Curriculum Sets</h3><ul><li><strong>Set 1: Grade 07 Mathematics (3 Cards):</strong> Fractions, Mixed Numbers, Proportions, Unit Rates, Percentages, and Two-Step Equations.</li><li><strong>Set 2: Core High School Mathematics (3 Cards):</strong> Quadratic Formula, Complex Roots, Right-Triangle Trig, Radians, and Time Value of Money (TVM).</li><li><strong>Dual Set Pack:</strong> Includes all 6 cards from both Set 1 and Set 2 ($25.00—save $5.00).</li></ul><h3>Dual-Column Quick Layout</h3><p>The left column displays the standard textbook formula (e.g. Hypotenuse: √(a² + b²)); the right column shows the exact physical keystrokes (<code>[a] [ENTER] [x²] [b] [ENTER] [x²] [+] [√x]</code>).</p>",StackCalc,,Math Reference Deck,"Reference Cards, Cheatsheet, Math Guide, RPN Keystrokes, High School Math, 7th Grade Math, Quick Reference, TPU Pouch Ready",TRUE,Active,REF-CRD-GR07,,Curriculum Set,Set 1: Grade 07 Math,,,,,,,,15.00,,1.20,TRUE,,,,,,shopify,250,DENY,30,g,TRUE,manual,,,,,FALSE,StackCalc Reference Decks | Math Keystroke Cheatsheet,Standardized credit-card-sized reference cards mapping algebra to RPN keystrokes. Fits inside the calculator travel pouch.,,Office Supplies > Teaching Aids,Unisex,Adult,REF-CRD-GR07,,,New,FALSE,,,,,
,stackcalc-reference-decks,,,,,,,,REF-CRD-HIGHSCH,,,Set 2: Core High School Math,,,,,,,,15.00,,1.20,TRUE,,,,,,shopify,250,DENY,30,g,TRUE,manual,,,,,,,,,,,,REF-CRD-HIGHSCH,,,,,,,,,
,stackcalc-reference-decks,,,,,,,,REF-CRD-DUAL,,,Dual Set Pack (Set 1 + Set 2),,,,,,,,25.00,30.00,2.40,TRUE,,,,,,shopify,150,DENY,60,g,TRUE,manual,,,,,,,,,,,,REF-CRD-DUAL,,,,,,,,,
StackCalc Student Essentials Bundle,student-essentials-bundle,"<h2>The Complete Tactile STEM Toolkit</h2><p>The <strong>Student Essentials Bundle</strong> equips students with everything needed to conquer junior high, high school, and collegiate mathematics with spatial intuition and tactile precision.</p><h3>What's Included in the Bundle</h3><ul><li><strong>1× StackCalc SC-32 Calculator Kit:</strong> The flagship 4-level RPN calculator with snap-dome keys, glare-free screen, and your choice of 5 colorways ($59 value).</li><li><strong>1× The Unit Circle Volvelle:</strong> Zero-battery mechanical rotary trigonometry calculator ($18 value).</li><li><strong>1× Reference Deck Set 1 (Grade 07 Math):</strong> 3 durable pocket cards for fractions, proportions, and equations ($15 value).</li><li><strong>1× Reference Deck Set 2 (Core High School):</strong> 3 durable pocket cards for quadratics, trig, and TVM ($15 value).</li><li><strong>1× Reversible TPU Protective Travel Pouch & Dual Desk Stands:</strong> ($40 value).</li></ul><p><em>Save over $20 compared to purchasing components individually!</em></p>",StackCalc,,Bundle,"Bundle, Student Kit, Calculator, Volvelle, Reference Deck, STEM, Best Value",TRUE,Active,BNDL-ESS-RETRO,,Calculator Colorway,RetroFuturism,,,,,,,,125.00,147.00,30.70,TRUE,,,,,,shopify,50,DENY,280,g,TRUE,manual,,,,,FALSE,StackCalc Student Essentials Bundle ($125),"Complete tactile STEM kit. Includes SC-32 RPN calculator, Unit Circle Volvelle, Reference Decks 1 & 2, and protective pouch.",,Office Supplies > Calculators,Unisex,Adult,BNDL-ESS-RETRO,,,New,FALSE,,,,,
,student-essentials-bundle,,,,,,,,BNDL-ESS-STLTH,,,Stealth Industrial,,,,,,,,125.00,147.00,30.70,TRUE,,,,,,shopify,50,DENY,280,g,TRUE,manual,,,,,,,,,,,,BNDL-ESS-STLTH,,,,,,,,,
,student-essentials-bundle,,,,,,,,BNDL-ESS-SPRNV,,,Supernova,,,,,,,,125.00,147.00,30.70,TRUE,,,,,,shopify,25,DENY,280,g,TRUE,manual,,,,,,,,,,,,BNDL-ESS-SPRNV,,,,,,,,,
,student-essentials-bundle,,,,,,,,BNDL-ESS-DPSPC,,,Deep Space,,,,,,,,125.00,147.00,30.70,TRUE,,,,,,shopify,25,DENY,280,g,TRUE,manual,,,,,,,,,,,,BNDL-ESS-DPSPC,,,,,,,,,
,student-essentials-bundle,,,,,,,,BNDL-ESS-VYG01,,,Voyager,,,,,,,,125.00,147.00,30.70,TRUE,,,,,,shopify,25,DENY,280,g,TRUE,manual,,,,,,,,,,,,BNDL-ESS-VYG01,,,,,,,,,
